100001	2804
100002	2539
100003	7330
100004	4820
5	5950
100006	2753
100007	4352
8	5374
100009	7255
100010	2300
100011	3561
100012	5290
13	5431
100014	7310
100015	5581
100016	4854
100017	2286
100018	2370
100019	2423
100020	5642
100021	5431
100022	872
100023	5110
100024	7254
100025	5600
100026	4895
100027	5170
100028	3675
100029	4075
100030	5255
100031	6725
100032	2785
100033	2470
100034	5608
100035	4650
100036	2088
37	4165
100038	5373
100039	3260
100040	6487
100041	4703
100042	6725
100043	4655
100044	2478
100045	2347
100046	7304
47	4275
100048	6035
100049	4714
100050	3401
100051	4552
100052	4306
53	2849
100054	6054
100055	4370
100056	2830
100057	3646
100058	4871
59	2441
100060	2586
100061	3782
100062	7109
100063	4350
100064	3482
100065	2871
100066	6532
100067	7307
100068	4730
100069	2713
100070	2403
100071	2257
72	2320
100073	2622
100074	7120
100075	2360
100076	2446
100077	4352
100078	2168
100079	6121
100080	5371
100081	2365
100082	2360
100083	4401
100084	3890
100085	4154
100086	2700
100087	2440
100088	4575
100089	3276
90	3480
100091	4018
100092	2324
100093	3750
100094	7320
100095	4370
100096	4871
100097	2526
100098	6044
99	6728
100100	3953
101	2795
100102	4670
100103	3260
100104	2480
100105	4309
100106	4873
107	3533
100108	2480
100109	4341
110	2508
100111	2322
100112	5607
100113	2263
100114	2474
100115	2199
100116	7009
100117	2775
100118	2831
100119	4350
100120	6003
100121	3823
100122	4455
100123	4069
100124	5125
125	6056
100126	3678
100127	4714
100128	2622
100129	7116
100130	2011
100131	4310
100132	4621
133	5091
100134	4570
100135	4310
100136	4712
100137	4500
100138	5270
100139	4490
100140	4680
100141	4695
100142	3352
100143	5690
100144	2420
100145	3796
100146	4352
100147	4061
100148	2337
100149	6612
100150	3147
100151	2115
100152	3125
153	5065
100154	2460
100155	4856
100156	5291
100157	3478
100158	2835
100159	2259
100160	4306
100161	6722
100162	2481
100163	5322
100164	4850
100165	2210
100166	7260
167	3148
100168	4361
100169	6069
100170	3869
100171	3214
100172	3821
100173	3517
100174	6716
100175	2290
176	2134
100177	2330
100178	3478
100179	6519
100180	6110
100181	4551
100182	4742
100183	4520
100184	4825
100185	3579
100186	5238
100187	2100
100188	2844
100189	3551
190	4630
100191	5255
100192	5464
100193	3765
194	2905
100195	2118
100196	7109
100197	2343
100198	4662
100199	5642
100200	2317
100201	2665
100202	2446
100203	7310
100204	2259
100205	2566
100206	5418
100207	2830
100208	7315
100209	2622
100210	2469
100211	7321
100212	3764
100213	6271
100214	6443
100215	6535
216	6383
100217	2340
100218	6055
100219	4721
100220	2261
221	2850
222	4388
100223	2870
100224	5510
100225	2447
226	2839
100227	6384
100228	5204
100229	6056
100230	2640
100231	6153
100232	3401
100233	5256
100234	6230
235	2365
100236	4804
100237	4741
100238	2477
100239	2444
100240	2372
100241	4310
100242	3551
243	4670
100244	4871
100245	6765
100246	2429
100247	4605
100248	3723
100249	3815
100250	2830
100251	2170
100252	2474
100253	4703
100254	6503
100255	2321
100256	3566
100257	4660
100258	3622
100259	3381
100260	3701
100261	4870
100262	820
100263	6210
100264	3585
100265	4551
100266	6159
100267	3472
100268	3586
100269	2847
100270	2831
100271	6431
100272	2170
100273	7258
274	4850
100275	5052
100276	6210
100277	2630
100278	6335
100279	4655
100280	5482
100281	2471
100282	4878
100283	2430
284	3860
100285	4671
100286	4625
287	2913
100288	2650
289	4510
290	3610
100291	2429
100292	3023
100293	5641
100294	2565
295	6244
296	4702
100297	3148
100298	2203
100299	2700
100300	4814
301	4820
100302	4221
100303	5038
100304	4514
100305	2653
100306	4815
100307	2550
100308	2074
100309	4630
100310	7252
100311	3960
100312	2870
100313	2390
100314	2409
100315	6280
100316	4486
100317	3825
100318	2548
100319	2428
100320	5153
100321	5223
100322	6348
